p,rho,replication,method,wall_clock_s
500,0.5,7,Horseshoe,375.16925400000764
500,0.5,7,Regularized Horseshoe,369.1522684000083
500,0.5,8,AEH,366.710072899994
500,0.5,8,Horseshoe,382.4164592999732
500,0.5,8,Regularized Horseshoe,367.8869677000039
500,0.5,9,AEH,373.41911270000855
500,0.5,9,Horseshoe,379.47527620001347
500,0.5,9,Regularized Horseshoe,365.29435999999987
500,0.5,10,AEH,373.86085840000305
500,0.5,10,Horseshoe,366.70626579999225
500,0.5,10,Regularized Horseshoe,375.19501560000936
500,0.5,11,AEH,375.4388431000116
500,0.5,11,Horseshoe,385.3884473000071
500,0.5,11,Regularized Horseshoe,373.692194800009
500,0.5,12,AEH,391.523989600013
500,0.5,12,Horseshoe,385.50762969997595
500,0.5,12,Regularized Horseshoe,371.9118712999916
500,0.5,13,AEH,390.71560380002484
500,0.5,13,Horseshoe,378.0026080000098
500,0.5,13,Regularized Horseshoe,372.55539650001447
500,0.5,14,AEH,384.88623010000447
500,0.5,14,Horseshoe,373.7912426000112
500,0.5,14,Regularized Horseshoe,377.9252734000038
500,0.5,15,AEH,367.26152610001736
500,0.5,15,Horseshoe,373.94738920000964
500,0.5,15,Regularized Horseshoe,390.79468530000304
500,0.5,16,AEH,363.5468993000104
500,0.5,16,Horseshoe,378.3903374999936
500,0.5,16,Regularized Horseshoe,361.10561329999473
500,0.5,17,AEH,373.4563386999944
